,"('soga', 'soGA', 'soga')","('soga', 'soGA', 'SOga')","('soga', 'soGA', 'soGA')","('bave', 'baVE', 'bave')","('bave', 'baVE', 'BAve')","('bave', 'baVE', 'baVE')"
0,1.4381919694489565e-35,8.102811040423893e-27,5.148005880240241e-35,1.7749296516776241e-09,0.9999999918717124,6.353357881250128e-09
1,1.6671075386670837e-30,3.3973552798146145e-23,1.6671075386670837e-30,4.9070739965284195e-08,0.9999999018585201,4.9070739965284195e-08
2,4.924830562021608e-12,8.812082826999764e-05,3.700746452699437e-10,5.588208509781516e-08,0.9999076236751875,4.199239457901174e-06
3,4.8667806363619045e-33,1.0343640852455575e-26,3.763366025825484e-31,4.7049209776334515e-07,0.9999631474699917,3.638203791049741e-05
4,3.026963657722731e-11,7.863631212466856e-05,2.58532618256688e-10,3.8490036343283453e-07,0.9999176910691273,3.2874295821940947e-06
5,4.720909506694815e-08,0.9999999055806685,4.720909506694815e-08,5.3881568780427985e-20,1.141338625884605e-12,5.3881568780427985e-20
6,5.677147792568135e-09,0.6968004450424398,4.916221797259887e-07,2.470297837296706e-09,0.3031988412683309,2.1391960394866313e-07
7,9.228453820826442e-69,0.9999999993634198,9.228453820826442e-69,5.874651236190146e-78,6.365802274691735e-10,5.874651236190146e-78
8,1.27864659415562e-07,0.9983179143870088,1.27864659415562e-07,2.1540888637298833e-10,0.0016818294528545643,2.1540888637298833e-10
9,5.758796123468441e-14,5.555931690494882e-08,6.4378907765479326e-12,1.0363919029404785e-06,0.9998830474052735,0.00011586063701124583
10,5.279944505285194e-31,1.3136496807387988e-22,5.451721819492862e-29,4.019292487391044e-09,0.9999995809751231,4.15005584443163e-07
11,1.3386342055927499e-20,6.477363213469286e-13,2.4285768268210185e-20,2.0666343442865715e-08,0.9999999418397171,3.749329172284525e-08
12,5.762733708881998e-07,0.9572574086277367,4.8331247132504357e-05,2.5700481333791812e-08,0.042691502687608976,2.1554636697047528e-06
13,9.40900164688232e-08,0.9999998118194804,9.40900164688232e-08,4.578265617785182e-20,4.865834791050112e-13,4.578265617785182e-20
14,7.495529329725358e-26,0.9999999980326312,7.495529329725358e-26,1.4746470451480698e-34,1.967368783948081e-09,1.4746470451480698e-34
15,1.5518148954296407e-08,0.9999993917302606,5.744357670865058e-07,2.8422767902594104e-16,1.8315812470671807e-08,1.0521264186169571e-14
16,2.2192895744174502e-08,0.9999999556142087,2.2192895744174502e-08,1.2347993829783647e-41,5.56393966071302e-34,1.2347993829783647e-41
17,1.0296989802894657e-19,1.0774220695190766e-11,4.636688487028928e-19,9.557061761171997e-09,0.999999947397142,4.303502196864704e-08
18,5.1224663354255905e-09,0.9999999897550078,5.1224663354255905e-09,3.0405322356828906e-22,5.935680208389393e-14,3.0405322356828906e-22
19,3.0066157619767724e-36,5.398854941675518e-29,2.493692015538618e-35,5.568984976048203e-08,0.9999994824176283,4.618925219860938e-07
20,1.065914819778265e-23,3.7470302665238596e-15,1.2708985444899213e-23,2.8446922957993638e-09,0.9999999937635552,3.391748788149107e-09
21,3.8729339284704576e-08,0.9999999225413216,3.8729339284704576e-08,3.3670623256358085e-33,8.693827798289779e-26,3.3670623256358085e-33
22,1.2532805989544412e-06,0.9999972323809343,1.5143384659569765e-06,1.1205426899525335e-21,8.940851630927978e-16,1.3539513015342768e-21
23,2.650153609560927e-07,0.9999994699692782,2.650153609560927e-07,2.803480237390049e-24,1.0578551904860607e-17,2.803480237390049e-24
24,7.117772758675397e-07,0.04522371653556832,7.117772758675397e-07,1.5026753869623272e-05,0.9547448064021407,1.5026753869623272e-05
25,4.86272732750724e-25,1.3795976545587703e-17,3.757425311153667e-23,3.524733385939138e-08,0.9999972411941469,2.7235585192035145e-06
26,3.647184734336593e-248,0.999999992273181,3.647184734336593e-248,2.8181136171772154e-256,7.726818904649654e-09,2.8181136171772154e-256
27,3.3078791796977864e-07,0.999759662877518,2.827400078177286e-06,7.847453843224365e-11,0.00023717818525239063,6.707588277711019e-10
28,1.1812078157888201e-14,8.654035382204738e-09,1.0392530412504328e-13,1.3649031421383785e-06,0.9999866177197495,1.2008722957291894e-05
29,2.3967352341985438e-08,0.9999999520652951,2.3967352341985438e-08,6.028854594743869e-24,2.515444434465671e-16,6.028854594743869e-24
